Title; Link; Description
Article;https://panafrican-med-journal.com/content/article/44/21/pdf/21.pdf;
RCS: VERSAILLES;https://www.pappers.fr/entreprise/spfpl-smaoui-902185628/documents/SPFPL%20SMAOUI%20-%20Statuts%20constitutifs%2010-08-2021.pdf;
Communications orales;https://old.latunisiemedicale.com/pdf.php?pdf=pdf/Vol%2096-12-N09.pdf;
001: Evaluation DEs objEctifs, Du contEnu Et;https://old.latunisiemedicale.com/pdf.php?pdf=pdf/Vol%2097-01-18.pdf;
Final Programme;https://www.pe-online.org/download.aspx?FileName=5333268_WENEN%20-%20Final_Programme_UEG_Week_2018.pdf&FileKey=7745364a333972584661534254634576534d6f69663178456d647669625469793556564258684f6c5937593d;
