Title; Link; Description
1ld espace (1);https://isams.rnu.tn/useruploads/files/1L_en%20Design.xls;
Feuil1;https://isetsf.rnu.tn/useruploads/files/etudiants_par_groupe_examen_janvier_2015.xls;
Feuil1;https://isetsf.rnu.tn/useruploads/files/etudiant-groupe-devoir2s13-14.xls;
Download full list;https://www.cambridge.org/core/services/aop-cambridge-core/download/cited-by?doi=10.1017/CBO9780511535529&productType=BOOK&productId=D1B9B50BA3E2A8F0650D6188DA845289;
IDU037d912e002faf04a0c09c99...;https://documents1.worldbank.org/curated/en/099958505052234165/text/IDU037d912e002faf04a0c09c99085abbbac6844.txt;
Enabling-the-Business-of-Agriculture-2019. ...;https://documents1.worldbank.org/curated/fr/806771571717730416/text/Enabling-the-Business-of-Agriculture-2019.txt;
Top 20000 authors in ICSD;http://www.cristal.org/icsd/icsdall.txt;
s190702;https://ncyuweb.ncyu.edu.tw/files/list/lib/springerlink2020%E7%B8%BD%E6%B8%85%E5%96%AE.xls;
Table 6 - Boys names;https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/datasets/babynamesenglandandwalesbabynamesstatisticsboys/2013/2013boysbyareagorrsmonthwebtables_tcm77-374580.xls;
business-card-orc/names_dic.txt at master;https://github.com/Wonghopper/business-card-orc/blob/master/names_dic.txt;
baby_name_generator/set_names.txt at master;https://github.com/tentatshu/baby_name_generator/blob/master/set_names.txt;
lifepat - :: Life Insurance Agents' Federation of India ::;http://liafi.in/LPM-15-02-2016.xls;
This file - The Beauty and Joy of Computing;https://bjc.edc.org/bjc-r/cur/programming/3-lists/old/5-big-data/yob2014.txt;
Full text of "Employees of diplomatic missions";https://archive.org/stream/employeesofdipl1988wash_1/employeesofdipl1988wash_1_djvu.txt;
pmc-resultBW.txt;https://www.researchgate.net/profile/Feleke_Gebremeskel/publication/323915469_S1_PRISMA_Checklist/data/5ab268dc0f7e9b4897c48750/pmc-resultBW.txt;
AMiner;https://www.aminer.cn/lab-datasets/structural-hole/data/coauthor/other/map_id_to_authorname.txt;
https://194.218.3.85/court-ruling2/ad087ba3e8f8063...;https://194.218.3.85/court-ruling2/ad087ba3e8f8063d81a2ae71e365a81c.txt;
data.txt;https://wcw.cs.ui.ac.id/teaching/imgs/bahan/tbdl/data.txt;
SOU 2001_59.txt;https://scientometrics.flov.gu.se/files/SOU19222015/SOU%202001_59.txt;
SOU 1989_30 - Professorstillsättning.txt;https://scientometrics.flov.gu.se/files/SOU19222015/SOU%201989_30%20-%20Professorstills%C3%A4ttning.txt;
propres.txt;http://jph.durand.free.fr/propres.txt;
vocab.txt;https://zenodo.org/record/6976301/files/vocab.txt;
